,Cluster.ID,Parent,TaxIDs,GIs,Genera,L.min,L.max,MAD,Defline.of.longest.sequence
1,1,4710,720,1346,160,281,1001,0.7221107273,"Coccothrinax argentata partial rpb2 gene, intron 23, specimen voucher Cult. K (1973-12608)"
3,3,4710,604,1147,145,274,1207,0.4835610927,"Bactris campestris phosphoribulokinase-like protein 2 gene, exons 4, 5 and partial cds"
2,2,4710,599,1182,171,296,1700,0.715554892,"Ravenea julietiae voucher Baker 1014 (K) trnK gene, intron; and matK pseudogene, complete sequence; chloroplast"
0,0,4710,446,1398,179,340,1485,0.5380153466,"Metroxylon vitiense ribulose biphosphate carboxylase (rbcL) gene, complete cds; chloroplast gene for chloroplast product"
5,5,4710,442,897,121,253,1105,0.4587932626,"X Gigantocalamus malpenensis voucher WKM 2895 (KLU, SING) trnD-trnT intergenic spacer, partial sequence; chloroplast"
10,10,4710,329,457,104,484,1911,0.4745084029,"Howea belmoreana NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast gene for chloroplast product"
4,4,4710,319,972,155,262,1758,0.2672948356,"Nypa fruticans trnT-trnL intergenic spacer, trnL gene and trnL-trnF intergenic spacer sequence"
16,16,4710,309,361,162,283,988,0.848988415,"Trachycarpus fortunei chloroplast partial rps16 gene for ribosomal protein S16, exon 2"
11,11,4710,275,446,55,356,947,0.7857454032,"Aphandra natalia voucher AAU:Balslev H. 6551 serine/threonine protein kinase (CISP4) gene, partial sequence"
6,6,169700,234,641,46,296,1651,0.7108952075,"Kerriodoxa elegans chloroplast matK pseudogene (partial), and trnK gene (partial), intron, specimen voucher 1987-2685 (K)"
9,9,4710,219,461,57,254,824,0.403425963,"Archontophoenix cunninghamiana voucher AK 305989 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence"
20,20,169703,198,279,58,338,734,0.6966589513,"Areca concinna phosphoribulokinase-like (PRK) gene, partial sequence"
17,17,169700,193,332,39,299,922,0.6785112249,"Livistona speciosa chloroplast trnD gene, partial sequence; trnY and trnE genes, complete sequence; and trnE-trnT intergenic spacer region, partial sequence"
35,35,4710,186,256,79,279,1152,0.8986443414,"Calamus caesius chloroplast trnQ-rps16 intergenic spacer, complete sequence; and ribosomal protein S16 gene, partial cds"
18,18,169703,173,317,58,398,977,0.8094275594,"Linospadix minor partial rpbII gene intron 23, specimen voucher 1988-2450 (K)"
14,14,169700,171,407,31,406,897,0.8441898877,"Schippia concolor isolate 15 RNA polymerase II second largest subunit (RPB2) gene, intron 23 and partial cds"
7,7,4710,169,590,40,277,946,0.527654352,"Calamus platyacanthus var. longicarpus voucher KUN:Yanghq0007 PsbA (psbA) gene, partial cds; and psbA-trnH intergenic spacer, partial sequence; chloroplast"
23,23,4710,165,265,29,280,784,0.769503273,"Kerriodoxa elegans voucher FTG Live Collection 84213A (DNA Bank 74) CISP5 gene, partial sequence"
41,41,4710,162,230,80,326,819,0.790502734,"Pritchardia schattaueri voucher Fairchild Tropical Garden DNA Bank 839 malate synthase gene, partial cds"
37,37,169700,153,246,28,484,956,0.9306306766,"Pritchardia viscosa voucher N. Tangalin 1692 (PTBG) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast"
22,22,417012,146,265,19,346,922,0.7290181312,"Livistona speciosa chloroplast trnD gene, partial sequence; trnY and trnE genes, complete sequence; and trnE-trnT intergenic spacer region, partial sequence"
40,40,417012,143,231,19,646,956,0.9329004329,"Pritchardia viscosa voucher N. Tangalin 1692 (PTBG) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast"
19,19,417012,142,292,19,651,1637,0.8675826981,"Copernicia prunifera chloroplast matK pseudogene (partial), and trnK gene (partial), intron, specimen voucher C. E. Lewis 03-012 (FTG)"
44,44,169700,139,210,24,386,784,0.7708515549,"Kerriodoxa elegans voucher FTG Live Collection 84213A (DNA Bank 74) CISP5 gene, partial sequence"
36,36,169700,137,254,27,375,865,0.8403759501,"Pritchardia flynnii voucher National Tropical Garden Live Collection 070279 serine/threonine protein kinase (CISP4) gene, partial sequence"
45,45,417012,133,204,18,386,708,0.8535712308,"Pritchardia glabrata voucher Fairchild Tropical Garden DNA Bank 824 CISP5 gene, partial sequence"
43,43,169697,132,220,24,311,985,0.8202445778,"Bactris cf. maraja FTBG Acc. 84101H isolate PL113 WRKY transcription factor 21 (WRKY21) gene, partial sequence"
38,38,417012,129,246,19,375,865,0.8394896377,"Pritchardia flynnii voucher National Tropical Garden Live Collection 070279 serine/threonine protein kinase (CISP4) gene, partial sequence"
8,8,169700,128,535,43,430,1476,0.5081110858,"Chelyocarpus repens ribulose bisphosphate carboxylase large subunit (rbcL) gene, complete cds; chloroplast gene for chloroplast product"
15,15,417012,126,370,18,406,875,0.8903660232,"Johannesteijsmannia magnifica isolate 1.1 RNA polymerase II second largest subunit (RPB2) gene, intron 23"
60,60,4710,124,160,45,261,648,0.7155285494,"Mauritiella armata voucher Couvreur, T.L.P. 257 (K) agamous 1 (AG1) gene, partial cds"
46,46,169697,112,199,19,259,752,0.8608200577,"Lytocaryum weddellianum voucher NA:Meerow 3207 (photo only) WRKY transcription factor 7 (WRKY7) gene, exons 1 through 3 and partial cds"
67,67,169703,106,141,54,777,1680,0.9177220534,"Loxococcus rupicola voucher K:Chase 9611 trnK gene, partial sequence; and matK pseudogene, complete sequence"
