Cluster.ID,Parent,TaxIDs,GIs,Genera,L.min,L.max,MAD,Defline.of.longest.sequence
1,9443,491,4871,75,252,1153,0.8224905066,"Rhinopithecus roxellana mitochondrion, complete genome"
8,9443,319,1636,70,304,980,0.7970491742,"Galago senegalensis mitochondrial DNA, complete genome"
0,9443,318,5670,67,253,1837,0.3597529328,"Hylobates muelleri clone tg426 NADH dehydrogenase subunit 3 and NADH dehydrogenase subunit 4L genes, complete sequence; and NADH dehydrogenase subunit 4 gene, partial sequence; mitochondrial"
4,9443,307,2015,69,256,720,0.9251440585,"Lagothrix lugens cytochrome c oxidase subunit II-like gene, partial sequence; mitochondrial"
13,9443,296,1145,68,308,1595,0.86195562,"Nycticebus pygmaeus 16S ribosomal RNA gene, complete sequence; mitochondrial"
12,9443,283,1290,67,252,1575,0.7866878307,"Cercopithecus mitis opisthostictus voucher RBINS:10595 mitochondrion, partial genome"
30,9443,268,965,67,270,1821,0.9708444657,"Daubentonia madagascariensis mitochondrial DNA, complete genome"
28,9443,255,979,66,264,842,0.8039348892,"Homo sp. Altai complete mitochondrial genome, isolate Denisova molar"
37,9443,249,894,66,273,1026,0.9025406544,"Otolemur crassicaudatus mitochondrion, complete genome"
3,9443,246,2083,70,252,1899,0.2784637643,"Saimiri boliviensis growth hormone receptor mRNA, complete cds"
43,9443,237,851,66,358,825,0.9432923833,Lemur catta mitochondrion complete mitochondrial genome
40,9443,227,884,66,537,1050,0.9782589959,"Microcebus arnholdi isolate AMB5.41 mitochondrion, complete genome"
19,9443,178,1067,60,262,415,0.9181400391,"Otolemur crassicaudatus isolate OCR-1 ADORA3 gene, partial sequence"
52,314293,169,609,42,452,543,0.9676098546,"Chiropotes israelita mitochondrion, complete genome"
98,9443,166,276,60,269,1528,0.6348546931,"Daubentonia madagascariensis voucher GEN010_RJS recombination activating protein 1 (Rag1) gene, partial cds"
2,9526,157,3362,28,250,1479,0.3730467674,"Homo sapiens isolate HN-SZ754 control region, partial sequence; tRNA-Phe gene, complete sequence; and 12S ribosomal RNA gene, partial sequence; mitochondrial"
137,9443,155,198,62,267,662,0.923899112,"Galago matschiei voucher FMNH_148985 NPAS3.2 gene, intron"
158,9443,152,185,61,336,542,0.9837937569,"Daubentonia madagascariensis isolate DMD-5 NEGR1 gene, partial sequence"
186,9443,152,167,61,637,951,0.9747256276,"Callithrix geoffroyi isolate CGE-4 AXIN1 gene, partial sequence"
197,9443,152,157,60,470,741,0.8005707556,"Microcebus arnholdi AF4/FMR2 family member 2 gene, partial cds"
134,9443,149,203,62,283,713,0.953765053,"Arctocebus calabarensis isolate ACL-1 RPGRIP1 gene, partial sequence"
148,9443,149,190,61,404,615,0.9102781344,"Daubentonia madagascariensis isolate DMD-5 SGMS1 gene, partial sequence"
166,9443,149,179,60,266,544,0.9491353105,"Otolemur crassicaudatus isolate OCR-1 DMRT1 gene, partial sequence"
6,376911,148,1824,26,259,1143,0.8441413984,"Hapalemur griseus griseus isolate dasi511 mitochondrion, partial genome"
161,9443,148,183,59,411,747,0.9575789497,"Hylobates agilis isolate HAG-6 FAM123B gene, partial sequence"
202,9443,148,154,59,454,627,0.9674081899,"Galago moholi isolate GMO-4 POLA1 gene, partial sequence"
204,9443,148,153,59,391,510,0.9551198257,"Galago matschiei voucher FMNH_148985 AFF2 gene, intron"
136,9443,147,200,61,386,760,0.7543223684,"Daubentonia madagascariensis isolate DMD-5 RAG2 gene, partial sequence"
146,9443,146,191,59,255,580,0.9515255461,"Arctocebus calabarensis isolate ACL-1 FOXP1 gene, partial sequence"
153,9443,143,188,56,521,658,0.9651425985,"Galago moholi voucher ABSHER009f SIM1 gene, intron"
199,9443,142,156,60,429,567,0.9452810564,"Avahi laniger isolate ALN-1 ZIC3 gene, partial sequence"
138,9443,141,197,60,281,696,0.8981051987,"Pongo abelii amyloid beta precursor protein (APP), mRNA"
190,9443,141,163,58,341,894,0.5614938033,"Gorilla gorilla isolate Snowflake tyrosinase (Tyr) gene, complete cds"
163,9443,140,182,59,342,667,0.9609206386,"Tarsius syrichta isolate TSY-1 MAPKAP1 gene, partial sequence"
162,9443,137,182,57,316,558,0.9191382095,"Cercopithecus lhoesti isolate CIH-1 MBD5 gene, partial sequence"
205,9443,137,152,56,254,341,0.927650872,"Galagoides zanzibaricus voucher GZ-UD-002 prepronociceptin (PNOC) gene, partial cds"
129,9443,136,217,51,527,950,0.9243900073,"Varecia variegata variegata thyroxine-binding prealbumin (TTR) gene, intron 1"
175,9443,136,173,56,304,773,0.9606592437,"Eulemur macaco flavifrons isolate EMC-5 ERC2 gene, partial sequence"
213,9443,135,146,55,520,1006,0.9845515945,"Hapalemur griseus isolate HGR-1 CNR1 gene, partial sequence"
240,9443,135,139,56,333,606,0.9640762637,"Cheirogaleus medius isolate CMD-1 NPAS3 gene, partial sequence"
206,9443,134,152,56,474,716,0.9498033667,"Lepilemur dorsalis isolate LDO-1 LUC7L gene, partial sequence"
225,9443,134,140,59,545,790,0.9504249548,"Callithrix penicillata isolate CPE-10 BCOR gene, partial sequence"
243,9443,134,138,57,569,613,0.9949878242,"Presbytis comata isolate PCM-1 USH2A gene, partial sequence"
68,9443,132,430,40,336,656,0.880112025,"Callithrix geoffroyi SRY (SRY) gene, partial cds"
221,9443,132,142,57,635,1149,0.8338481717,TSA: Pan troglodytes Chimpanzee_0135436 mRNA sequence
222,9443,132,142,54,480,614,0.9543859247,"Aotus trivirgatus isolate ATR-1 DCTN2 gene, partial sequence"
226,9443,132,140,57,362,741,0.9229901677,"Tarsius syrichta isolate TSY-1 FBN1 gene, partial sequence"
246,9443,131,137,55,390,743,0.7096305174,"S217P61956RF10.T0 Noemie Pan troglodytes troglodytes STS genomic, sequence tagged site"
220,9443,130,142,57,252,363,0.9556900632,"Cebus albifrons isolate CEA-1 PLCB4 gene, partial sequence"
254,9443,130,134,57,303,640,0.9416744403,"Hylobates agilis isolate HAG-6 KCNMA1 gene, partial sequence"
256,9443,129,133,56,277,409,0.9447763663,"Lagothrix lagotricha isolate LLG-1 CHRNA1 gene, partial sequence"
143,9443,128,194,57,274,1037,0.5271699689,"Rhinopithecus brelichi isolate RBR-1 KDM5D gene, partial sequence"
179,9443,128,172,51,324,491,0.9305522664,"Tarsius syrichta isolate TSY-1 FES gene, partial sequence"
255,9443,128,134,55,531,630,0.9825870647,"Lepilemur ankaranensis isolate LAN-1 DACH1 gene, partial sequence"
185,9443,124,167,54,250,673,0.6147912199,"Eulemur fulvus albifrons isolate EFL-7 CREM gene, partial sequence"
124,9443,121,225,50,535,846,0.8081008668,"Cacajao calvus isolate CCL-1 CFTR gene, partial sequence"
271,9443,120,128,53,690,1809,0.5406172264,"Macaca fascicularis butyrylcholinesterase precursor (BChE) mRNA, complete cds"
306,9443,115,119,53,497,802,0.9509838848,"Hylobates lar isolate HLA-1 LRPPRC_171 gene, partial sequence"
7,376915,113,1658,17,259,1143,0.8397129641,"Hapalemur griseus griseus isolate dasi511 mitochondrion, partial genome"
50,376911,113,694,25,380,980,0.8229253661,"Galago senegalensis mitochondrial DNA, complete genome"
14,376911,107,1117,22,346,349,0.9970705405,"Daubentonia madagascariensis mitochondrial DNA, complete genome"
307,9443,107,119,50,265,1221,0.4136711196,TSA: Callithrix jacchus HIPPO_15833 mRNA sequence
17,376911,106,1100,22,458,1404,0.966486014,Lemur catta mitochondrion complete mitochondrial genome
365,9443,101,103,45,374,1276,0.9528563168,"Alouatta palliata isolate APL-1 BRCA2 gene, partial sequence"
31,376911,99,956,22,511,687,0.9804955144,"Avahi laniger isolate NARA5.12 mitochondrion, complete genome"
23,376911,98,1033,17,297,297,1,"Propithecus verreauxi coquereli mitochondrial DNA, complete genome"
18,376915,97,1076,16,348,348,1,"Propithecus verreauxi coquereli mitochondrial DNA, complete genome"
20,376915,96,1059,16,458,1404,0.9659316831,Lemur catta mitochondrion complete mitochondrial genome
24,376915,96,1028,16,297,297,1,"Propithecus verreauxi coquereli mitochondrial DNA, complete genome"
22,9443,89,1034,41,276,931,0.7334701772,"Cheirogaleus crossleyi isolate AMB5.22 von Willebrand factor (vWF) gene, partial cds"
32,376915,89,918,16,511,687,0.9798689005,"Avahi laniger isolate NARA5.12 mitochondrion, complete genome"
55,376915,89,603,16,380,975,0.8289968959,"Microcebus griseorufus isolate BEZ7.11 mitochondrion, complete genome"
347,9443,86,110,43,633,761,0.9736948991,"Hylobates muelleri isolate HMU-6 UTY gene, partial sequence"
401,9443,86,88,42,329,836,0.9031372336,"Galago senegalensis isolate GSE-1 LRPPRC_169 gene, partial sequence"
95,376911,84,278,22,1482,1557,0.9916529204,"Cheirogaleus medius mitochondrion, complete genome"
96,376911,84,277,22,714,1595,0.9836356846,"Nycticebus pygmaeus 16S ribosomal RNA gene, complete sequence; mitochondrial"
103,9443,83,271,23,492,540,0.9663249966,"Cheirogaleus medius isolate KIBO7.9 mitochondrion, complete genome"
99,376911,82,273,22,955,1026,0.9317417475,"Otolemur crassicaudatus mitochondrion, complete genome"
100,376911,82,271,22,1039,1050,0.9946512037,"Microcebus arnholdi isolate AMB5.41 mitochondrion, complete genome"
101,376911,82,271,22,784,825,0.9506071788,Lemur catta mitochondrion complete mitochondrial genome
102,376911,82,271,22,1787,1821,0.9951893753,"Daubentonia madagascariensis mitochondrial DNA, complete genome"
104,376911,82,269,22,492,540,0.966446372,"Cheirogaleus medius isolate KIBO7.9 mitochondrion, complete genome"
295,9443,81,124,39,364,1179,0.6456743003,S.boliviensis ZFY gene
105,376911,80,267,21,678,681,0.9998515072,"Propithecus verreauxi coquereli mitochondrial DNA, complete genome"
